Parcel ID,Location,Built,TotalValue,SalePrice,Beds,LotSize,LUC,NHood,SaleDate,BookPage,type,Baths,FinishedSize,description,SaleYear,Zipcode,latitude,longitude,zestimate
39-065-00-0,7 Teed Rd,1956,258100,244900,3,6900,101,180,12/29/2017,35713-448,Ranch  ,1,980,ONE FAM,2017,2343,42.13781,-71.022472,257844
15-117-00-0,1 Thayer Ave,1940,193200,190000,2,8350,101,210,8/27/2008,26006-309,Bungalow  ,1,656,ONE FAM,2008,2343,42.157431,-71.005897,235606
15-101-01-0,2 Thayer Ave,1900,251100,108000,3,6839,101,210,9/30/1992,9533-501,Old Style  ,1,1044,ONE FAM,1992,2343,42.157177,-71.005346,301060
15-111-00-0,3 Thayer Ave,1962,302900,100,3,25992,101,210,4/2/1991,8886-52,Cape  ,1,1482,ONE FAM,1991,2343,42.157146,-71.005952,357578
15-101-02-0,4 Thayer Ave,1992,312000,279900,2,8542,101,210,11/9/2016,34653-362,Ranch  ,1,1120,ONE FAM,2016,2343,42.156967,-71.005375,318657
34-004-00-0,1 Thornton Rd,1959,268000,1,3,10202,101,290,12/17/1997,755-126,Ranch  ,1,1024,ONE FAM,1997,2343,42.144281,-71.010962,317921
33-380-00-0,10 Thornton Rd,1959,258200,1,3,10080,101,290,5/18/1996,735-39,Ranch  ,1,880,ONE FAM,1996,2343,42.14395,-71.012337,311019
33-377-00-0,11 Thornton Rd,1959,272000,248000,3,10224,101,290,12/8/2017,197165-,Ranch  ,1,1104,ONE FAM,2017,2343,42.144374,-71.012606,316776
15-141-00-0,62 Belcher St,1900,371700,379900,3,7789,101,210,2/23/2017,34932-302,Old Style  ,3,2388,ONE FAM,2017,2343,42.156935,-71.004974,424936
33-376-00-0,13 Thornton Rd,1959,264400,16000,3,10241,101,290,7/18/1963,367-28,Ranch  ,1,880,ONE FAM,1963,2343,42.1444,-71.012942,311706
34-003-00-0,3 Thornton Rd,1959,264900,100,2,10132,101,290,8/26/2016,1360813-,Ranch  ,1,880,ONE FAM,2016,2343,42.144296,-71.011286,308896
34-014-00-0,4 Thornton Rd,1959,314200,100,5,10080,101,290,4/30/2012,184273-,Colonial  ,3,1840,ONE FAM,2012,2343,42.143883,-71.011343,417910
34-002-00-0,5 Thornton Rd,1959,266300,1,3,10799,101,290,1/15/1999,770-158,Ranch  ,1,880,ONE FAM,1999,2343,42.144315,-71.011617,311660
34-015-00-0,6 Thornton Rd,1959,269400,36900,3,10080,101,290,12/20/1978,541-69,Ranch  ,1,1108,ONE FAM,1978,2343,42.143906,-71.011678,324060
34-001-00-0,7 Thornton Rd,1959,256000,13500,3,10132,101,290,1/1/1960,00326-042,Ranch  ,1,880,ONE FAM,1960,2343,42.144337,-71.011959,311143
34-016-00-0,8 Thornton Rd,1959,300900,16500,4,10080,101,290,12/31/1965,397-188,Colonial  ,1,1526,ONE FAM,1965,2343,42.143929,-71.012002,375132
33-379-00-0,9 Thornton Rd,1956,263700,1,3,10302,101,290,10/4/2016,194255-,Ranch  ,1,880,ONE FAM,2016,2343,42.144355,-71.01228,312285
52-056-00-0,16 Linwood St,1880,252800,261000,2,6251,101,270,5/30/2017,35144-377,Old Style  ,1,1320,ONE FAM,2017,2343,42.126627,-71.008367,286933
14-136-00-0,100 Union St,1920,286200,190000,3,8699,101,220,12/9/2014,32753-318,Old Style  ,1,1427,ONE FAM,2014,2343,42.155209,-71.013107,345641
14-141-00-0,110 Union St,1900,287700,247000,4,10877,101,220,8/21/2017,35379-286,Old Style  ,2,1971,ONE FAM,2017,2343,42.155227,-71.013491,384608
14-142-00-0,114 Union St,1920,350400,100,2,21780,101,220,3/7/1990,662-182,Old Style  ,1,1672,ONE FAM,1990,2343,42.155348,-71.013775,306754
14-143-00-0,120 Union St,1900,282300,90000,3,24502,101,220,12/1/2009,27265-489,Old Style  ,1,1298,ONE FAM,2009,2343,42.155469,-71.014087,313252
14-108-00-0,121 Union St,1900,243300,227500,2,8882,101,220,10/29/2010,28208-391,Old Style  ,1,1015,ONE FAM,2010,2343,42.154737,-71.014268,310516
14-146-00-0,148 Union St,1926,300300,100,3,18382,101,220,2/8/2017,34904-328,Colonial  ,1,1560,ONE FAM,2017,2343,42.155302,-71.015208,351304
14-147-00-0,154 Union St,1900,276300,1,3,8459,101,220,9/11/2018,36285-237,Old Style  ,1,1686,ONE FAM,2018,2343,42.155308,-71.015464,339965
14-106-00-0,155 Union St,1860,284000,72000,3,10999,101,220,6/24/1985,6706-408,Old Style  ,1,1103,ONE FAM,1985,2343,42.154791,-71.015546,312152
14-148-00-0,160 Union St,1887,296300,130000,3,15560,101,220,11/29/1988,8170-191,Old Style  ,2,1558,ONE FAM,1988,2343,42.155386,-71.015735,362993
14-105-00-0,161 Union St,1900,248000,100,2,11700,101,220,11/13/2014,32692-278,Old Style  ,1,1375,ONE FAM,2014,2343,42.154793,-71.015865,311639
14-149-00-0,166 Union St,1858,337600,337000,2,10881,101,220,3/30/2018,35884-366,Old Style  ,2,1177,ONE FAM,2018,2343,42.155309,-71.016054,349554
14-104-00-0,167 Union St,2005,435300,330000,4,20051,101,220,4/4/2013,186344-,Colonial  ,2,2128,ONE FAM,2013,2343,42.1548,-71.016299,461541
14-176-00-0,174 Union St,1925,342500,1,4,17071,101,220,4/2/2004,20787-189,Old Style  ,1,2238,ONE FAM,2004,2343,42.155481,-71.016888,410614
14-177-00-0,180 Union St,1750,267700,250000,4,16718,101,220,5/12/2017,35103-527,Cape  ,1,1342,ONE FAM,2017,2343,42.155261,-71.016966,275747
14-179-00-0,196 Union St,2001,385600,92000,3,16906,101,825,4/1/1991,673-92,Ranch  ,2,1656,ONE FAM,1991,2343,42.155413,-71.017392,420901
